Visit,Sub
02:59.4,
03:00.1,
03:00.5,
03:03.1,
03:03.4,
03:03.7,
03:04.4,
03:06.4,
03:06.9,
03:07.3,
03:07.7,
03:08.3,03:20.9
03:09.3,
03:12.1,
03:12.7,
03:13.0,
03:13.3,
03:14.5,
03:14.8,
03:15.4,
03:15.8,
03:15.9,
03:17.4,
03:18.4,
03:19.6,
03:20.3,
03:20.6,04:44.4
03:20.9,
03:21.5,
03:23.3,
03:24.1,
03:24.6,
03:24.8,
03:25.1,
03:27.0,
03:27.9,
03:29.8,
03:30.0,
03:30.4,
03:31.0,
03:31.7,
03:32.2,
03:33.8,
03:34.6,
03:34.8,
03:34.9,
03:35.1,
03:35.9,
03:37.0,
03:37.8,
03:38.6,
03:39.0,
03:39.9,
03:39.9,
03:40.0,
03:40.5,
03:41.8,
03:42.8,
03:43.2,
03:44.1,
03:44.5,
03:45.1,
03:45.7,03:58.2
03:45.8,
03:46.3,
03:46.6,
03:47.8,
03:48.6,
03:48.6,
03:49.0,
03:49.3,
03:51.6,
03:52.8,
03:52.8,
03:53.7,
03:54.3,
03:54.7,
03:55.8,
03:57.0,
03:57.9,
03:58.1,
04:00.9,
04:01.0,
04:02.6,
04:02.7,
04:03.8,
04:04.5,
04:05.3,
04:06.1,
04:06.7,
04:07.0,
04:07.7,
04:08.1,
04:08.1,
04:08.7,
04:10.4,
04:11.4,
04:14.8,
04:15.0,
04:15.4,
04:17.2,
04:18.7,
04:19.1,
04:19.2,
04:20.0,
04:20.7,
04:21.2,
04:22.5,
04:23.6,
04:23.6,
04:24.5,
04:24.5,
04:25.6,
04:25.7,
04:26.2,
04:26.5,
04:27.2,
04:27.5,
04:28.6,
04:30.2,
04:30.6,
04:30.7,
04:31.8,
04:33.9,
04:34.2,
04:34.5,
04:36.6,
04:36.9,
04:37.0,
04:37.5,
04:38.8,
04:39.0,
04:39.6,
04:39.9,
04:40.1,
04:40.5,
04:40.8,
04:41.5,
04:41.6,
04:41.6,
04:42.4,
04:42.6,
04:43.1,
04:45.5,
04:47.6,
04:48.0,
04:48.8,
04:48.9,05:12.5
04:50.5,
04:51.1,
04:52.2,
04:53.6,
04:54.3,05:34.2
04:54.6,05:07.9
04:54.9,
04:55.7,
04:56.0,
04:56.2,
04:57.0,
04:58.4,
04:58.4,
04:59.1,
05:00.6,
05:01.0,
05:04.1,
05:04.5,
05:07.1,
05:07.2,
05:08.9,
05:09.0,
05:09.3,
05:09.9,
05:11.0,
05:11.8,
05:12.7,
05:14.1,
05:15.9,
05:18.9,
05:23.4,
05:23.9,
05:23.9,
05:24.2,
05:24.5,
05:24.9,
05:25.1,
05:25.5,
05:25.6,06:38.1
05:26.4,
05:26.8,
05:28.5,
05:28.8,
05:29.8,
05:30.1,
05:30.4,
05:30.6,
05:30.7,
05:30.9,
05:31.2,
05:31.6,
05:32.6,
05:33.5,
05:33.6,
05:34.6,
05:36.6,
05:37.5,
05:38.1,05:48.3
05:39.1,
05:39.8,
05:39.8,
05:41.3,
05:42.1,
05:42.6,
05:43.0,06:07.3
05:43.7,
05:43.9,
05:45.0,
05:45.8,
05:46.0,
05:46.5,
05:47.8,
05:48.1,
05:48.6,
05:49.0,06:14.9
05:49.4,
05:49.8,
05:52.0,
05:53.4,
05:55.2,
05:56.3,
05:56.8,
05:57.1,06:38.2
05:59.4,06:47.0
06:03.3,
06:03.9,
06:04.7,
06:05.2,
06:06.7,
06:07.0,
06:07.0,
06:07.5,
06:07.7,
06:08.5,
06:09.9,
06:10.8,
06:11.0,
06:11.5,
06:12.6,
06:13.1,
06:13.7,
06:14.0,
06:15.4,
06:17.3,
06:17.6,
06:20.3,
06:21.3,
06:21.6,
06:21.9,
06:22.5,
06:23.2,
06:23.5,
06:24.0,
06:24.3,
06:25.1,
06:25.1,
06:25.3,
06:25.9,
06:26.4,
06:27.0,
06:28.5,
06:28.6,
06:28.8,
06:29.3,
06:29.5,
06:29.8,
06:29.9,
06:30.6,
06:30.6,
06:30.9,
06:31.1,
06:32.2,
06:32.9,
06:33.3,
06:33.4,
06:33.5,
06:33.6,
06:34.8,
06:35.4,
06:37.4,
06:38.0,
06:38.8,
06:41.3,
06:42.4,
06:42.7,
06:42.9,
06:43.1,
06:43.3,
06:43.8,
06:44.1,
06:44.2,
06:44.3,
06:45.0,
06:46.0,
06:46.9,
06:47.2,
06:49.1,
06:49.3,
06:49.7,06:54.6
06:50.7,
06:52.0,
06:52.0,07:14.9
06:53.0,
06:53.4,
06:53.5,
06:53.5,
06:54.4,07:05.4
06:55.6,
06:55.9,
06:56.3,
06:58.2,
06:58.3,
06:58.9,
07:00.4,
07:01.9,
07:02.7,
07:03.8,
07:04.1,
07:04.6,
07:05.0,
07:07.1,
07:07.5,
07:07.8,
07:08.7,
07:11.0,
07:11.6,
07:13.9,
07:16.1,
07:18.7,
07:19.2,
07:19.5,
07:19.8,
07:19.8,
07:19.9,
07:20.7,07:31.4
07:24.2,
07:25.4,
07:26.3,
07:27.5,
07:27.7,
07:28.8,
07:29.8,
07:30.8,
07:31.3,
07:32.6,
07:33.7,
07:34.6,
07:34.9,
07:35.2,
07:35.5,
07:35.5,
07:35.7,
07:36.3,
07:36.6,
07:36.7,
07:37.8,
07:41.3,08:11.2
07:43.8,
07:45.3,
07:46.5,
07:49.2,08:02.8
07:49.2,
07:50.2,
07:50.3,
07:50.5,
07:50.9,
07:52.2,
07:52.6,
07:53.2,
07:54.0,
07:55.5,24:13.0
07:56.3,
07:57.2,
07:58.1,
08:00.2,
08:00.7,
08:00.9,08:22.1
08:01.2,
08:02.2,
08:04.5,
08:05.0,
08:05.9,
08:06.8,
08:10.2,
08:10.9,
08:12.4,
08:12.6,
08:12.7,
08:15.8,
08:16.1,
08:18.4,
08:18.7,
08:22.1,
08:23.3,
08:23.7,
08:25.0,
08:25.4,
08:27.4,
08:27.7,08:43.0
08:28.8,
08:29.3,
08:30.7,
08:30.8,
08:33.3,
08:33.9,
08:34.3,
08:35.0,
08:35.7,
08:36.6,
08:36.8,
08:36.8,
08:36.9,
08:37.3,
08:38.0,
08:39.0,
08:39.7,
08:39.8,
08:39.9,
08:40.3,
08:40.4,
08:41.7,
08:41.9,
08:42.8,09:33.8
08:42.8,10:18.1
08:47.9,
08:47.9,
08:50.2,
08:50.3,
08:51.0,
08:51.1,
08:52.2,
08:53.3,
08:53.4,
08:55.0,
08:55.0,
08:55.1,
08:55.8,
08:55.8,
08:56.4,
08:56.8,
08:58.4,
08:58.5,
08:58.7,
08:59.0,
08:59.2,
09:00.0,
09:00.4,
09:01.9,
09:02.1,
09:02.5,
09:02.5,
09:03.2,
09:03.6,
09:03.7,
09:08.5,
09:08.9,
09:10.7,
09:11.2,
09:12.7,
09:13.0,
09:14.3,
09:15.5,
09:17.5,
09:18.2,10:37.5
09:19.0,
09:19.2,
09:20.3,
09:22.5,
09:23.7,
09:24.0,
09:24.1,
09:24.5,
09:24.8,
09:25.1,
09:26.9,
09:27.3,
09:27.6,
09:27.9,
09:28.4,
09:29.9,
09:31.2,
09:31.8,
09:31.9,
09:32.3,
09:33.0,
09:33.3,
09:33.6,
09:34.8,
09:34.8,
09:34.9,
09:34.9,
09:34.9,
09:34.9,
09:34.9,
09:35.3,
09:35.9,
09:35.9,
09:35.9,
09:36.0,
09:36.4,
09:36.6,
09:36.8,
09:36.9,
09:37.4,
09:39.1,
09:39.4,
09:39.6,
09:40.9,
09:42.8,09:50.6
09:44.2,
09:44.3,
09:45.9,
09:46.0,
09:47.0,
09:47.5,
09:47.6,
09:47.8,
09:47.9,
09:49.0,09:58.6
09:49.2,
09:49.3,
09:49.8,
09:50.3,
09:51.1,
09:54.5,
09:54.6,
09:55.1,
09:56.4,
09:58.1,
09:58.1,
09:59.1,
09:59.7,
10:00.0,
10:01.1,
10:01.5,
10:02.3,
10:02.6,
10:02.7,
10:04.8,
10:04.9,
10:04.9,
10:04.9,
10:05.5,
10:06.1,
10:06.7,
10:07.5,
10:07.9,
10:08.6,
10:09.0,
10:09.6,10:38.5
10:12.2,
10:13.1,
10:13.2,
10:13.3,
10:13.9,
10:15.1,
10:15.3,
10:15.3,
10:15.8,
10:16.1,
10:16.5,
10:18.1,
10:18.4,
10:18.8,
10:19.2,
10:20.1,
10:21.9,
10:22.0,
10:22.3,
10:23.2,
10:23.5,
10:24.6,
10:25.5,
10:25.6,
10:26.0,
10:26.9,
10:26.9,
10:27.2,
10:27.7,
10:29.0,
10:30.2,
10:30.3,
10:30.5,
10:30.7,
10:33.8,
10:34.0,
10:34.4,
10:35.0,
10:35.2,11:00.2
10:35.4,
10:35.9,
10:36.6,
10:38.2,
10:38.3,
10:39.5,
10:39.5,
10:40.0,
10:40.3,
10:40.5,
10:40.8,
10:40.9,
10:42.2,
10:42.6,
10:43.9,
10:44.2,
10:45.0,
10:47.0,
10:52.4,
10:52.8,
10:56.4,
10:57.7,
10:59.2,
10:59.4,
10:59.8,
11:00.6,
11:00.9,
11:01.8,
11:02.5,
11:02.8,
11:03.4,
11:03.9,
11:04.1,
11:05.4,
11:06.3,
11:07.7,
11:07.8,
11:08.0,
11:09.4,
11:09.8,
11:10.2,
11:13.2,
11:13.6,
11:13.8,
11:14.1,
11:15.3,
11:16.0,
11:17.7,
11:18.9,
11:19.0,
11:19.6,
11:20.0,
11:20.0,
11:20.8,
11:21.3,
11:22.8,
11:23.8,
11:25.0,
11:27.5,12:16.9
11:28.8,
11:28.9,
11:29.7,
11:30.4,
11:32.5,
11:32.7,
11:33.3,
11:33.3,
11:33.4,
11:33.5,
11:33.7,
11:33.9,
11:35.4,
11:36.3,
11:36.4,
11:36.5,
11:37.0,
11:37.6,
11:38.2,
11:38.3,
11:38.6,
11:38.7,
11:40.0,
11:40.5,12:04.2
11:41.3,
11:41.5,
11:41.9,
11:42.1,
11:42.6,
11:44.5,
11:45.8,
11:45.9,
11:45.9,
11:47.1,
11:47.2,
11:48.5,12:03.2
11:49.3,
11:49.4,
11:49.4,
11:49.5,
11:50.1,
11:50.1,
11:50.7,
11:51.4,
11:51.9,
11:52.2,
11:52.8,
11:53.7,
11:53.7,
11:53.9,
11:55.3,
11:56.3,
11:57.1,
11:57.6,
11:58.3,
11:58.5,
11:59.2,
11:59.8,
11:59.9,
12:00.0,12:17.0
12:01.4,
12:01.8,
12:01.9,
12:02.5,
12:04.1,
12:05.3,
12:05.7,
12:06.9,
12:08.3,
12:08.3,
12:08.8,
12:09.2,
12:09.2,
12:09.6,
12:09.9,
12:10.6,
12:12.5,
12:13.7,
12:14.1,
12:14.8,
12:15.4,
12:16.1,
12:17.1,
12:20.3,
12:20.8,
12:21.1,
12:21.4,
12:22.6,
12:24.7,
12:25.3,
12:25.3,
12:25.6,
12:25.9,
12:26.3,
12:27.3,
12:27.3,
12:27.3,
12:27.8,
12:29.2,
12:30.1,
12:30.3,
12:31.6,
12:32.3,
12:32.5,
12:33.2,
12:33.9,
12:34.5,
12:34.6,12:46.6
12:35.9,
12:36.2,
12:36.4,
12:36.8,
12:37.8,
12:38.1,
12:38.4,12:52.0
12:39.4,
12:40.2,
12:41.4,12:56.3
12:42.8,
12:43.3,
12:44.0,
12:44.0,
12:44.1,12:59.7
12:44.6,
12:45.0,
12:45.1,
12:45.9,
12:46.5,
12:47.1,13:26.9
12:47.7,
12:49.3,
12:49.6,
12:50.9,
12:51.9,
12:53.0,
12:53.9,
12:55.5,
12:57.2,
12:57.4,
12:57.8,
12:59.8,13:04.0
13:01.3,
13:02.4,
13:03.0,
13:05.1,
13:05.5,
13:06.6,
13:06.8,13:22.9
13:07.1,
13:08.1,
13:08.5,
13:09.8,
13:11.4,
13:11.8,
13:12.0,
13:14.1,
13:15.7,13:33.4
13:16.3,
13:16.5,
13:16.9,
13:16.9,
13:17.1,
13:17.9,
13:18.0,
13:18.2,
13:19.0,
13:22.0,
13:22.7,
13:22.9,
13:23.2,
13:23.9,
13:25.2,
13:25.2,
13:27.0,
13:28.9,
13:29.3,
13:29.4,
13:29.5,
13:31.5,
13:32.1,
13:32.8,
13:33.5,
13:35.4,
13:36.5,
13:37.4,
13:37.8,
13:39.1,
13:41.0,
13:41.2,
13:41.5,
13:43.8,
13:44.0,
13:44.1,
13:44.7,
13:45.7,
13:46.2,
13:46.2,
13:46.3,
13:48.2,
13:48.6,
13:49.7,
13:50.3,
13:52.1,
13:52.2,
13:54.4,
13:55.5,
13:56.0,
13:56.4,
13:56.8,
13:57.8,
13:57.9,
14:01.5,
14:02.1,
14:03.4,
14:03.9,
14:05.1,
14:05.6,
14:05.9,
14:08.3,
14:10.1,14:20.7
14:11.7,14:31.8
14:12.6,
14:14.1,
14:14.4,
14:15.0,
14:15.2,
14:16.7,
14:16.9,
14:17.1,
14:17.2,
14:18.1,
14:18.9,
14:19.3,
14:21.8,
14:22.6,
14:23.0,
14:23.9,
14:24.2,
14:24.5,
14:25.3,14:39.5
14:25.5,14:32.6
14:26.6,
14:27.8,
14:28.7,
14:29.9,
14:30.1,
14:31.2,
14:31.2,
14:31.4,
14:31.7,
14:33.9,
14:33.9,
14:34.0,
14:34.3,
14:35.9,
14:36.5,
14:36.7,
14:37.1,
14:37.7,
14:37.9,
14:38.6,
14:40.9,
14:42.2,
14:42.2,
14:42.3,
14:42.5,
14:42.8,
14:43.8,
14:44.4,
14:45.9,
14:46.2,
14:48.5,
14:50.4,
14:50.4,
14:50.8,
14:50.8,
14:51.7,
14:52.0,
14:52.2,
14:52.9,
14:56.8,
14:57.2,
14:57.3,
14:58.3,
15:00.2,
15:00.4,
15:00.9,
15:01.1,
15:01.5,
15:02.0,
15:05.4,
15:07.6,
15:08.4,
15:08.8,
15:08.9,
15:11.4,
15:12.6,
15:13.4,
15:14.3,
15:14.3,
15:15.5,
15:15.9,15:39.1
15:16.0,
15:16.5,
15:17.5,
15:17.6,
15:19.5,
15:19.5,
15:19.7,
15:20.6,
15:20.8,
15:21.4,
15:23.0,
15:24.8,
15:25.3,
15:25.8,
15:26.0,
15:27.5,
15:28.5,
15:28.6,15:57.7
15:29.0,
15:29.2,
15:30.9,
15:32.2,
15:32.2,
15:32.3,
15:32.4,
15:33.5,
15:33.8,
15:35.4,
15:41.4,
15:42.3,
15:42.8,
15:43.5,
15:45.0,
15:45.9,
15:46.1,
15:46.6,
15:49.1,
15:49.6,
15:49.9,
15:50.7,
15:50.8,
15:51.5,
15:51.8,
15:53.2,
15:53.5,
15:53.7,
15:53.8,
15:53.9,
15:56.8,
15:57.1,
15:58.1,16:06.3
15:59.3,
16:00.1,
16:01.8,
16:02.1,
16:03.7,
16:06.0,
16:08.0,
16:08.7,
16:08.7,
16:10.0,
16:14.4,
16:15.8,
16:16.7,
16:18.2,
16:18.5,
16:19.5,
16:20.0,17:18.1
16:21.0,
16:21.2,
16:21.2,
16:23.2,
16:23.4,
16:25.5,16:35.1
16:26.0,
16:26.5,
16:26.8,
16:27.3,
16:28.1,
16:30.7,
16:31.8,
16:32.1,
16:32.2,
16:32.6,
16:32.8,
16:34.1,
16:34.3,
16:35.3,
16:35.4,
16:38.1,
16:38.4,
16:39.0,
16:40.3,16:46.4
16:41.0,
16:41.3,
16:43.1,
16:43.4,
16:44.0,
16:45.5,
16:46.1,
16:46.7,
16:47.7,
16:49.0,
16:49.0,
16:49.2,
16:50.1,
16:55.1,
16:55.4,
16:55.8,
16:56.5,
16:57.7,
16:58.0,
16:58.6,
16:59.6,
16:59.6,
17:00.5,
17:00.5,
17:00.7,
17:01.7,
17:02.0,
17:02.0,
17:06.1,
17:06.9,
17:07.2,
17:08.7,
17:08.7,
17:08.9,
17:11.1,
17:11.1,
17:11.3,
17:12.1,
17:12.2,
17:12.3,
17:14.4,
17:14.7,
17:16.2,
17:16.7,
17:18.3,
17:18.5,
17:21.9,
17:22.5,
17:22.8,
17:24.2,
17:24.6,
17:26.1,
17:26.4,
17:26.5,
17:27.2,
17:27.4,
17:29.5,
17:29.5,
17:29.9,
17:29.9,17:44.8
17:30.4,
17:30.5,
17:31.6,
17:33.6,
17:33.6,
17:35.9,
17:36.1,
17:37.3,
17:37.6,
17:37.9,
17:38.4,
17:39.4,
17:40.0,
17:44.0,
17:45.4,
17:45.6,
17:46.0,
17:47.1,
17:48.1,
17:49.0,
17:50.4,
17:50.5,
17:51.9,
17:52.2,
17:52.2,
17:54.8,
17:56.1,
17:57.9,
17:58.8,
17:59.0,
17:59.2,
17:59.3,
17:59.3,
17:59.4,18:14.8
18:01.3,
18:02.6,
18:03.3,
18:05.3,
18:07.7,
18:09.9,
18:09.9,
18:10.5,
18:10.6,
18:10.7,
18:11.4,
18:11.5,
18:12.6,
18:12.9,
18:13.0,
18:13.5,
18:13.7,
18:18.0,
18:18.3,
18:20.4,
18:21.1,
18:21.3,
18:21.7,
18:22.1,
18:22.2,
18:22.5,
18:23.0,
18:23.2,
18:24.6,
18:25.6,
18:26.0,
18:26.4,
18:26.5,
18:26.9,
18:26.9,
18:27.8,
18:29.1,
18:30.3,
18:30.9,
18:31.1,
18:33.2,
18:34.0,
18:35.6,
18:36.1,
18:36.2,
18:38.9,
18:40.7,
18:40.8,
18:41.0,
18:41.2,
18:41.8,
18:45.2,
18:45.7,
18:45.8,
18:46.2,
18:47.0,
18:50.2,
18:50.2,
18:50.2,
18:50.9,
18:51.2,
18:51.3,
18:52.4,
18:53.6,
18:55.4,
18:55.5,
18:56.1,
18:56.5,
18:57.9,
18:58.8,
19:01.7,
19:02.5,
19:02.6,
19:04.3,
19:04.4,
19:04.5,
19:05.2,
19:05.2,
19:06.9,
19:07.2,
19:08.2,
19:08.5,19:42.0
19:09.4,
19:10.8,
19:11.4,
19:11.5,
19:11.5,
19:13.1,
19:13.4,
19:16.3,
19:16.3,
19:17.5,
19:18.0,
19:19.7,
19:20.6,
19:21.2,
19:22.7,
19:25.4,
19:26.1,
19:26.9,
19:29.2,
19:30.2,
19:31.0,
19:31.8,
19:31.8,
19:31.9,
19:34.0,
19:34.7,
19:34.9,
19:34.9,
19:36.0,
19:36.1,
19:36.3,
19:37.4,
19:40.1,
19:41.8,
19:43.1,
19:43.7,
19:43.9,
19:44.4,
19:44.7,
19:45.3,
19:46.4,
19:46.8,
19:47.2,
19:50.4,20:19.0
19:50.6,
19:51.1,
19:52.1,
19:52.4,
19:58.0,
19:59.5,
20:01.6,
20:03.0,
20:04.8,
20:05.1,
20:05.7,
20:06.7,
20:06.7,
20:07.9,
20:08.9,
20:11.1,
20:11.2,
20:11.4,
20:15.3,
20:16.4,
20:17.8,
20:17.9,
20:18.8,
20:20.1,
20:20.1,
20:20.2,
20:20.9,
20:21.7,
20:22.7,
20:24.2,
20:24.5,
20:25.3,
20:27.0,
20:27.1,
20:27.1,
20:28.3,
20:28.9,
20:29.6,
20:30.4,
20:30.6,20:52.4
20:31.0,
20:32.6,
20:32.8,
20:32.8,20:59.1
20:33.1,
20:34.2,
20:35.0,
20:35.4,
20:35.9,
20:37.8,
20:39.4,
20:40.8,
20:42.2,
20:43.6,
20:44.2,37:51.5
20:44.8,
20:45.7,
20:46.4,
20:46.9,
20:47.2,
20:47.2,
20:47.9,
20:48.1,
20:48.3,
20:48.8,
20:49.7,
20:50.2,
20:50.8,
20:51.4,
20:51.8,
20:52.9,
20:57.8,
20:58.4,
21:00.1,
21:00.1,
21:01.2,
21:01.4,
21:02.7,
21:05.6,
21:06.5,
21:07.2,
21:10.4,
21:10.7,
21:11.0,
21:12.1,
21:12.4,
21:14.2,
21:15.7,
21:16.6,
21:19.2,21:28.7
21:20.3,
21:21.4,
21:23.0,
21:24.0,
21:24.5,
21:25.2,
21:25.5,
21:27.5,
21:27.6,
21:28.9,
21:29.7,
21:30.6,
21:34.2,
21:35.4,
21:36.1,
21:38.8,
21:39.7,
21:43.2,
21:44.1,
21:44.5,
21:44.6,
21:45.4,
21:45.4,
21:47.9,
21:48.8,
21:49.0,
21:49.5,
21:50.9,
21:51.1,
21:51.2,
21:51.5,22:17.9
21:52.4,
21:52.5,
21:53.9,
21:54.3,
21:56.1,
21:56.3,
21:58.1,
21:59.5,
22:00.2,
22:04.4,
22:04.7,
22:05.7,
22:08.8,
22:10.6,
22:11.2,
22:11.2,
22:12.3,
22:14.3,
22:14.7,
22:14.9,
22:16.0,
22:16.2,
22:17.2,
22:17.6,
22:19.4,
22:21.5,
22:23.3,
22:23.4,
22:25.9,
22:28.6,
22:29.1,
22:30.3,
22:30.9,
22:31.0,
22:31.4,
22:33.7,
22:34.4,
22:36.6,
22:37.0,
22:37.3,
22:37.3,
22:37.9,
22:40.5,
22:41.4,
22:41.5,
22:42.6,
22:44.9,
22:45.0,
22:46.1,
22:48.2,
22:49.3,
22:50.2,
22:50.9,
22:52.2,
22:53.2,
22:53.8,
22:53.9,
22:55.4,
22:57.5,
22:57.6,
22:57.7,
22:58.8,
22:58.9,
22:59.0,
22:59.6,
23:00.2,
23:00.4,
23:00.4,
23:00.6,
23:01.2,
23:01.3,
23:01.6,
23:01.6,
23:02.5,
23:04.4,
23:06.2,
23:06.9,23:36.1
23:07.5,
23:07.7,
23:07.8,
23:08.6,
23:08.9,
23:10.0,
23:10.4,
23:10.5,
23:12.9,
23:14.4,
23:15.1,
23:15.1,
23:16.5,
23:16.5,
23:16.7,
23:18.8,
23:19.3,
23:19.4,
23:21.1,
23:21.5,
23:22.1,
23:23.6,
23:25.2,
23:26.4,
23:27.8,
23:28.2,
23:28.4,
23:30.2,
23:33.1,
23:33.5,23:58.8
23:34.1,
23:34.7,
23:36.9,
23:37.8,23:47.3
23:39.0,
23:39.4,
23:40.6,
23:41.2,
23:41.4,
23:41.9,
23:43.0,
23:43.5,
23:43.8,
23:45.2,
23:45.5,
23:46.5,
23:46.8,
23:47.2,
23:47.8,
23:48.5,
23:49.4,
23:49.7,
23:50.4,
23:50.6,
23:50.8,
23:51.0,
23:52.0,
23:52.3,
23:54.9,24:22.9
23:55.3,
23:56.7,
23:56.8,
23:57.9,
23:58.3,
24:00.7,
24:01.3,
24:01.3,
24:01.5,
24:01.7,
24:02.4,24:30.7
24:02.9,
24:04.5,
24:05.0,
24:05.9,
24:07.2,24:25.9
24:07.4,
24:09.5,
24:09.6,
24:09.8,
24:11.4,
24:11.8,
24:12.1,
24:13.1,
24:14.3,24:23.3
24:14.9,24:33.0
24:15.2,24:45.5
24:15.5,
24:17.5,
24:17.7,
24:18.8,
24:22.4,
24:22.4,
24:22.8,
24:23.4,
24:23.6,
24:23.6,
24:24.2,
24:25.1,
24:26.3,
24:28.2,
24:28.6,
24:30.0,
24:30.0,
24:30.6,
24:32.4,
24:33.9,
24:34.3,
24:36.0,
24:36.1,
24:36.4,
24:36.8,
24:37.6,
24:37.8,
24:40.7,
24:41.4,
24:42.9,
24:43.1,
24:44.0,
24:46.9,
24:49.6,
24:50.8,
24:50.9,
24:53.5,
24:53.8,
24:53.8,
24:53.9,
24:54.3,
24:54.5,
24:56.0,
24:56.8,
24:56.9,
24:57.5,
24:57.6,
24:59.4,
25:01.4,
25:02.6,
25:02.8,
25:03.4,
25:03.8,
25:04.2,
25:04.8,
25:05.1,
25:05.3,
25:05.9,
25:06.5,
25:06.8,
25:07.3,
25:08.3,
25:09.0,
25:09.3,
25:09.7,25:17.4
25:10.4,
25:10.9,
25:10.9,25:29.1
25:11.8,
25:12.4,
25:12.7,
25:13.4,
25:13.4,
25:16.7,
25:17.2,
25:17.9,
25:18.4,
25:18.6,
25:19.1,
25:19.2,
25:19.5,
25:21.3,
25:21.3,
25:22.9,
25:23.5,
25:25.0,
25:27.1,
25:28.3,
25:29.4,
25:29.9,
25:30.1,
25:31.3,
25:32.0,
25:32.4,
25:32.6,
25:32.7,
25:34.8,
25:36.3,
25:37.3,
25:37.8,
25:37.8,
25:38.6,
25:39.1,
25:39.2,
25:40.1,
25:40.2,
25:41.5,
25:44.3,
25:45.3,
25:45.8,
25:46.0,
25:46.3,
25:46.4,
25:48.7,
25:49.0,
25:50.0,
25:50.4,
25:51.0,
25:54.2,
25:54.7,
25:55.5,
25:55.9,
25:57.2,
25:57.4,
25:58.0,
25:58.3,
26:00.1,
26:00.6,
26:00.9,
26:01.9,
26:02.5,
26:02.7,
26:03.3,
26:03.8,
26:03.8,
26:04.3,
26:05.5,
26:06.2,
26:09.8,
26:11.2,
26:11.8,
26:13.6,
26:14.3,
26:14.6,
26:14.7,26:39.9
26:15.7,
26:16.0,
26:16.4,
26:16.6,
26:17.5,26:51.1
26:18.6,
26:20.2,
26:23.1,
26:23.8,
26:24.2,
26:25.5,
26:26.3,
26:26.4,
26:26.6,
26:27.0,
26:29.1,
26:29.8,
26:30.3,
26:31.0,
26:31.0,
26:32.7,
26:33.8,
26:35.6,
26:36.3,
26:38.7,
26:41.0,
26:41.7,
26:43.2,
26:44.0,27:35.4
26:44.3,
26:45.3,
26:45.5,
26:46.8,
26:47.0,
26:47.1,
26:48.2,
26:49.0,
26:49.1,
26:49.3,
26:51.5,
26:51.6,
26:52.1,
26:52.8,
